UID,Tag
100000,0.219076962
100001,0.025246019
100002,0.001288441
100003,0.003091228
100004,0.000726051
100005,0.104232391
100006,0.200392886
100007,1
100008,0.154683316
100009,0.003172649
100010,0.001176444
100011,0.005836799
100012,0.001129912
100013,0.001430093
100014,0.001967402
100015,0.090745953
100016,0.00284205
100017,0.001739095
100018,0.003640297
100019,0.000760854
100020,0.006733913
100021,0.002616285
100022,1
100023,0.011154587
100024,0.001559269
100025,0.005971695
100026,0.932981001
100027,0.871622216
100028,0.015579258
100029,0.502609355
100030,0.002999434
100031,0.062751605
100032,0.001561696
100033,0.001919251
100034,0.004362501
100035,0.554448892
100036,0.000600081
100037,0.015083413
100038,0.00215643
100039,0.002013402
100040,1
100041,0.002051482
100042,0.118549471
100043,0.001749347
100044,0.002635821
100045,0.002283804
100046,0.002695626
100047,0.013381579
100048,0.001979578
100049,0.032146723
100050,0.006030914
100051,0.003155501
100052,0.004880459
100053,0.012140157
100054,0.001057155
100055,0.126853899
100056,0.026044545
100057,0.001635913
100058,0.002180521
100059,0.00411255
100060,1
100061,0.003198234
100062,0.001739534
100063,0.001523079
100064,1
100065,0.019655753
100066,0.002559557
100067,0.045307612
100068,0.000812014
100069,0.00092846
100070,0.003395801
100071,0.00070448
100072,0.01169761
100073,0.008796315
100074,0.012998694
100075,0.000406822
100076,0.002062192
100077,0.000824461
100078,0.001064202
100079,0.001068228
100080,0.098031815
100081,0.219550646
100082,0.280248426
100083,0.010931555
100084,0.15433112
100085,0.000822118
100086,1
100087,0.389263685
100088,0.001890891
100089,0.062962323
100090,0.934643904
100091,0.002268319
100092,0.001072972
100093,0.012390457
100094,0.000654012
100095,0.122821032
100096,0.013551374
100097,0.001109719
100098,0.00225986
100099,0.002762648
100100,0.008349537
100101,0.033732427
100102,0.001252905
100103,0.001419887
100104,0.001606247
100105,0.104175984
100106,0.466720689
100107,0.282970884
100108,0.002225283
100109,1
100110,0.002446748
100111,0.007738465
100112,1
100113,0.114465395
100114,1
100115,0.001877573
100116,0.001694928
100117,0.010786045
100118,0.013700163
100119,0.001152563
100120,0.368656389
100121,0.045495463
100122,0.003156697
